Concept,Layer,Seed,Method,Train ACC,Test ACC
Supraventricular,Conv1,1,CAR,0.8475,0.85
Supraventricular,Conv1,1,CAV,0.8325,0.81
Supraventricular,Conv2,1,CAR,0.9275,0.88
Supraventricular,Conv2,1,CAV,0.95,0.87
Supraventricular,Conv3,1,CAR,0.94,0.89
Supraventricular,Conv3,1,CAV,0.9875,0.85
Supraventricular,Lin,1,CAR,0.9125,0.91
Supraventricular,Lin,1,CAV,0.785,0.77
Supraventricular,Conv1,2,CAR,0.87,0.88
Supraventricular,Conv1,2,CAV,0.9025,0.87
Supraventricular,Conv2,2,CAR,0.935,0.92
Supraventricular,Conv2,2,CAV,0.965,0.87
Supraventricular,Conv3,2,CAR,0.9575,0.93
Supraventricular,Conv3,2,CAV,0.9975,0.91
Supraventricular,Lin,2,CAR,0.9475,0.94
Supraventricular,Lin,2,CAV,0.9,0.89
Supraventricular,Conv1,3,CAR,0.8475,0.81
Supraventricular,Conv1,3,CAV,0.895,0.76
Supraventricular,Conv2,3,CAR,0.9125,0.83
Supraventricular,Conv2,3,CAV,0.955,0.77
Supraventricular,Conv3,3,CAR,0.9325,0.87
Supraventricular,Conv3,3,CAV,0.99,0.8
Supraventricular,Lin,3,CAR,0.925,0.87
Supraventricular,Lin,3,CAV,0.825,0.74
Supraventricular,Conv1,4,CAR,0.8775,0.81
Supraventricular,Conv1,4,CAV,0.8725,0.79
Supraventricular,Conv2,4,CAR,0.9425,0.85
Supraventricular,Conv2,4,CAV,0.97,0.78
Supraventricular,Conv3,4,CAR,0.9675,0.84
Supraventricular,Conv3,4,CAV,1.0,0.79
Supraventricular,Lin,4,CAR,0.9475,0.88
Supraventricular,Lin,4,CAV,0.85,0.81
Supraventricular,Conv1,5,CAR,0.8675,0.8
Supraventricular,Conv1,5,CAV,0.885,0.82
Supraventricular,Conv2,5,CAR,0.935,0.85
Supraventricular,Conv2,5,CAV,0.97,0.8
Supraventricular,Conv3,5,CAR,0.97,0.87
Supraventricular,Conv3,5,CAV,1.0,0.81
Supraventricular,Lin,5,CAR,0.9425,0.89
Supraventricular,Lin,5,CAV,0.795,0.74
Supraventricular,Conv1,6,CAR,0.8525,0.82
Supraventricular,Conv1,6,CAV,0.8625,0.75
Supraventricular,Conv2,6,CAR,0.9325,0.87
Supraventricular,Conv2,6,CAV,0.94,0.83
Supraventricular,Conv3,6,CAR,0.9425,0.89
Supraventricular,Conv3,6,CAV,0.965,0.85
Supraventricular,Lin,6,CAR,0.935,0.89
Supraventricular,Lin,6,CAV,0.82,0.74
