Concept,Layer,Method,p-value
Supraventricular,Conv1,CAR,0.009900990099009901
Supraventricular,Conv1,CAV,0.009900990099009901
Supraventricular,Conv2,CAR,0.009900990099009901
Supraventricular,Conv2,CAV,0.009900990099009901
Supraventricular,Conv3,CAR,0.009900990099009901
Supraventricular,Conv3,CAV,0.009900990099009901
Supraventricular,Lin,CAR,0.009900990099009901
Supraventricular,Lin,CAV,0.009900990099009901
Premature Ventricular,Conv1,CAR,0.009900990099009901
Premature Ventricular,Conv1,CAV,0.009900990099009901
Premature Ventricular,Conv2,CAR,0.009900990099009901
Premature Ventricular,Conv2,CAV,0.009900990099009901
Premature Ventricular,Conv3,CAR,0.009900990099009901
Premature Ventricular,Conv3,CAV,0.009900990099009901
Premature Ventricular,Lin,CAR,0.009900990099009901
Premature Ventricular,Lin,CAV,0.009900990099009901
Fusion Beats,Conv1,CAR,0.009900990099009901
Fusion Beats,Conv1,CAV,0.009900990099009901
Fusion Beats,Conv2,CAR,0.009900990099009901
Fusion Beats,Conv2,CAV,0.009900990099009901
Fusion Beats,Conv3,CAR,0.009900990099009901
Fusion Beats,Conv3,CAV,0.009900990099009901
Fusion Beats,Lin,CAR,0.009900990099009901
Fusion Beats,Lin,CAV,0.009900990099009901
Unknown,Conv1,CAR,0.009900990099009901
Unknown,Conv1,CAV,0.009900990099009901
Unknown,Conv2,CAR,0.009900990099009901
Unknown,Conv2,CAV,0.009900990099009901
Unknown,Conv3,CAR,0.009900990099009901
Unknown,Conv3,CAV,0.009900990099009901
Unknown,Lin,CAR,0.009900990099009901
Unknown,Lin,CAV,0.009900990099009901
