Concept Sets Size,Random Seed,Concept,Test Accuracy
10,1,Loop,0.9523809523809523
40,1,Loop,0.9753086419753086
70,1,Loop,0.9787234042553191
100,1,Loop,0.9751243781094527
130,1,Loop,0.9693486590038314
160,1,Loop,0.9719626168224299
190,1,Loop,0.9763779527559056
220,1,Loop,0.9863945578231292
250,1,Loop,0.9840319361277445
280,1,Loop,0.9875222816399287
10,2,Loop,0.9523809523809523
40,2,Loop,0.9876543209876543
70,2,Loop,0.9929078014184397
100,2,Loop,0.9850746268656716
130,2,Loop,0.9846743295019157
160,2,Loop,0.9813084112149533
190,2,Loop,0.984251968503937
220,2,Loop,0.981859410430839
250,2,Loop,0.9860279441117764
280,2,Loop,0.9857397504456328
10,3,Loop,0.9047619047619048
40,3,Loop,0.9753086419753086
70,3,Loop,0.9787234042553191
100,3,Loop,0.9850746268656716
130,3,Loop,0.9885057471264368
160,3,Loop,0.9906542056074766
190,3,Loop,0.989501312335958
220,3,Loop,0.9886621315192744
250,3,Loop,0.9900199600798403
280,3,Loop,0.9910873440285205
10,4,Loop,0.9523809523809523
40,4,Loop,0.9753086419753086
70,4,Loop,0.9858156028368794
100,4,Loop,0.9900497512437811
130,4,Loop,0.9923371647509579
160,4,Loop,0.9937694704049844
190,4,Loop,0.9921259842519685
220,4,Loop,0.9909297052154195
250,4,Loop,0.9900199600798403
280,4,Loop,0.9910873440285205
10,5,Loop,0.9047619047619048
40,5,Loop,0.9629629629629629
70,5,Loop,0.9858156028368794
100,5,Loop,0.9950248756218906
130,5,Loop,0.9961685823754789
160,5,Loop,0.9937694704049844
190,5,Loop,0.994750656167979
220,5,Loop,0.9954648526077098
250,5,Loop,0.9940119760479041
280,5,Loop,0.9964349376114082
10,6,Loop,0.9523809523809523
40,6,Loop,0.9876543209876543
70,6,Loop,0.9929078014184397
100,6,Loop,0.9850746268656716
130,6,Loop,0.9885057471264368
160,6,Loop,0.9906542056074766
190,6,Loop,0.9921259842519685
220,6,Loop,0.9931972789115646
250,6,Loop,0.9940119760479041
280,6,Loop,0.9946524064171123
10,7,Loop,0.9523809523809523
40,7,Loop,0.9506172839506173
70,7,Loop,0.9858156028368794
100,7,Loop,0.9800995024875622
130,7,Loop,0.9923371647509579
160,7,Loop,0.9906542056074766
190,7,Loop,0.989501312335958
220,7,Loop,0.9909297052154195
250,7,Loop,0.9920159680638723
280,7,Loop,0.9893048128342246
10,8,Loop,0.9047619047619048
40,8,Loop,0.9876543209876543
70,8,Loop,0.9929078014184397
100,8,Loop,0.9950248756218906
130,8,Loop,0.9961685823754789
160,8,Loop,0.9937694704049844
190,8,Loop,0.994750656167979
220,8,Loop,0.9931972789115646
250,8,Loop,0.9920159680638723
280,8,Loop,0.9910873440285205
10,9,Loop,0.9047619047619048
40,9,Loop,0.9876543209876543
70,9,Loop,0.9929078014184397
100,9,Loop,0.9950248756218906
130,9,Loop,0.9961685823754789
160,9,Loop,0.9937694704049844
190,9,Loop,0.994750656167979
220,9,Loop,0.9954648526077098
250,9,Loop,0.9960079840319361
280,9,Loop,0.9964349376114082
10,10,Loop,0.9523809523809523
40,10,Loop,0.9876543209876543
70,10,Loop,0.9858156028368794
100,10,Loop,0.9950248756218906
130,10,Loop,0.9961685823754789
160,10,Loop,0.9875389408099688
190,10,Loop,0.984251968503937
220,10,Loop,0.9841269841269841
250,10,Loop,0.9800399201596807
280,10,Loop,0.9803921568627451
10,1,Vertical Line,0.9523809523809523
40,1,Vertical Line,0.9876543209876543
70,1,Vertical Line,0.9929078014184397
100,1,Vertical Line,0.9950248756218906
130,1,Vertical Line,0.9961685823754789
160,1,Vertical Line,0.9968847352024922
190,1,Vertical Line,0.9921259842519685
220,1,Vertical Line,0.9931972789115646
250,1,Vertical Line,0.9940119760479041
280,1,Vertical Line,0.9964349376114082
10,2,Vertical Line,0.9523809523809523
40,2,Vertical Line,0.9876543209876543
70,2,Vertical Line,0.9929078014184397
100,2,Vertical Line,0.9950248756218906
130,2,Vertical Line,0.9961685823754789
160,2,Vertical Line,0.9968847352024922
190,2,Vertical Line,0.994750656167979
220,2,Vertical Line,0.9931972789115646
250,2,Vertical Line,0.9920159680638723
280,2,Vertical Line,0.9928698752228164
10,3,Vertical Line,0.9523809523809523
40,3,Vertical Line,0.9876543209876543
70,3,Vertical Line,0.9858156028368794
100,3,Vertical Line,0.9900497512437811
130,3,Vertical Line,0.9923371647509579
160,3,Vertical Line,0.9937694704049844
190,3,Vertical Line,0.994750656167979
220,3,Vertical Line,0.9954648526077098
250,3,Vertical Line,0.9960079840319361
280,3,Vertical Line,0.9946524064171123
10,4,Vertical Line,0.9523809523809523
40,4,Vertical Line,0.9876543209876543
70,4,Vertical Line,0.9929078014184397
100,4,Vertical Line,0.9950248756218906
130,4,Vertical Line,0.9961685823754789
160,4,Vertical Line,0.9937694704049844
190,4,Vertical Line,0.994750656167979
220,4,Vertical Line,0.9977324263038548
250,4,Vertical Line,0.998003992015968
280,4,Vertical Line,0.9964349376114082
10,5,Vertical Line,0.9047619047619048
40,5,Vertical Line,0.9876543209876543
70,5,Vertical Line,0.9929078014184397
100,5,Vertical Line,0.9950248756218906
130,5,Vertical Line,0.9961685823754789
160,5,Vertical Line,0.9968847352024922
190,5,Vertical Line,0.9973753280839895
220,5,Vertical Line,0.9977324263038548
250,5,Vertical Line,0.9960079840319361
280,5,Vertical Line,0.9964349376114082
10,6,Vertical Line,0.9523809523809523
40,6,Vertical Line,0.9876543209876543
70,6,Vertical Line,0.9858156028368794
100,6,Vertical Line,0.9850746268656716
130,6,Vertical Line,0.9885057471264368
160,6,Vertical Line,0.9968847352024922
190,6,Vertical Line,0.994750656167979
220,6,Vertical Line,0.9954648526077098
250,6,Vertical Line,0.9960079840319361
280,6,Vertical Line,0.9964349376114082
10,7,Vertical Line,0.9523809523809523
40,7,Vertical Line,0.9753086419753086
70,7,Vertical Line,0.9858156028368794
100,7,Vertical Line,0.9900497512437811
130,7,Vertical Line,0.9923371647509579
160,7,Vertical Line,0.9937694704049844
190,7,Vertical Line,0.994750656167979
220,7,Vertical Line,0.9954648526077098
250,7,Vertical Line,0.9940119760479041
280,7,Vertical Line,0.9946524064171123
10,8,Vertical Line,0.9047619047619048
40,8,Vertical Line,0.9629629629629629
70,8,Vertical Line,0.9858156028368794
100,8,Vertical Line,0.9850746268656716
130,8,Vertical Line,0.9961685823754789
160,8,Vertical Line,0.9906542056074766
190,8,Vertical Line,0.994750656167979
220,8,Vertical Line,0.9931972789115646
250,8,Vertical Line,0.9940119760479041
280,8,Vertical Line,0.9946524064171123
10,9,Vertical Line,0.9523809523809523
40,9,Vertical Line,0.9876543209876543
70,9,Vertical Line,0.9929078014184397
100,9,Vertical Line,0.9900497512437811
130,9,Vertical Line,0.9961685823754789
160,9,Vertical Line,0.9968847352024922
190,9,Vertical Line,0.994750656167979
220,9,Vertical Line,0.9954648526077098
250,9,Vertical Line,0.9940119760479041
280,9,Vertical Line,0.9946524064171123
10,10,Vertical Line,0.9523809523809523
40,10,Vertical Line,0.9753086419753086
70,10,Vertical Line,0.9858156028368794
100,10,Vertical Line,0.9950248756218906
130,10,Vertical Line,0.9885057471264368
160,10,Vertical Line,0.9906542056074766
190,10,Vertical Line,0.994750656167979
220,10,Vertical Line,0.9931972789115646
250,10,Vertical Line,0.9920159680638723
280,10,Vertical Line,0.9946524064171123
10,1,Horizontal Line,0.9523809523809523
40,1,Horizontal Line,0.9876543209876543
70,1,Horizontal Line,0.9929078014184397
100,1,Horizontal Line,0.9900497512437811
130,1,Horizontal Line,0.9846743295019157
160,1,Horizontal Line,0.9875389408099688
190,1,Horizontal Line,0.9868766404199475
220,1,Horizontal Line,0.9909297052154195
250,1,Horizontal Line,0.9900199600798403
280,1,Horizontal Line,0.9893048128342246
10,2,Horizontal Line,0.9047619047619048
40,2,Horizontal Line,0.9629629629629629
70,2,Horizontal Line,0.9645390070921985
100,2,Horizontal Line,0.9751243781094527
130,2,Horizontal Line,0.9846743295019157
160,2,Horizontal Line,0.9875389408099688
190,2,Horizontal Line,0.9868766404199475
220,2,Horizontal Line,0.9863945578231292
250,2,Horizontal Line,0.9880239520958084
