Concept,Layer,Method,p-value
Loop,Conv1,CAR,0.009900990099009901
Loop,Conv1,CAV,0.009900990099009901
Loop,Conv2,CAR,0.009900990099009901
Loop,Conv2,CAV,0.009900990099009901
Loop,Lin1,CAR,0.009900990099009901
Loop,Lin1,CAV,0.009900990099009901
Loop,Lin2,CAR,0.009900990099009901
Loop,Lin2,CAV,0.009900990099009901
Vertical Line,Conv1,CAR,0.009900990099009901
Vertical Line,Conv1,CAV,0.009900990099009901
Vertical Line,Conv2,CAR,0.009900990099009901
Vertical Line,Conv2,CAV,0.009900990099009901
Vertical Line,Lin1,CAR,0.009900990099009901
Vertical Line,Lin1,CAV,0.009900990099009901
Vertical Line,Lin2,CAR,0.009900990099009901
Vertical Line,Lin2,CAV,0.009900990099009901
Horizontal Line,Conv1,CAR,0.009900990099009901
Horizontal Line,Conv1,CAV,0.009900990099009901
Horizontal Line,Conv2,CAR,0.009900990099009901
Horizontal Line,Conv2,CAV,0.009900990099009901
Horizontal Line,Lin1,CAR,0.009900990099009901
Horizontal Line,Lin1,CAV,0.009900990099009901
Horizontal Line,Lin2,CAR,0.009900990099009901
Horizontal Line,Lin2,CAV,0.009900990099009901
Curvature,Conv1,CAR,0.009900990099009901
Curvature,Conv1,CAV,0.009900990099009901
Curvature,Conv2,CAR,0.009900990099009901
Curvature,Conv2,CAV,0.009900990099009901
Curvature,Lin1,CAR,0.009900990099009901
Curvature,Lin1,CAV,0.009900990099009901
Curvature,Lin2,CAR,0.009900990099009901
Curvature,Lin2,CAV,0.009900990099009901
