Adversarial %,Method,Class,Loop,Vertical Line,Horizontal Line,Curvature
0.0,TCAR,7,0,1,1,0
0.0,TCAR,2,1,0,0,1
0.0,TCAR,1,0,1,0,0
0.0,TCAR,0,1,0,0,1
0.0,TCAR,4,0,1,1,0
0.0,TCAR,1,0,1,0,0
0.0,TCAR,4,0,1,1,0
0.0,TCAR,9,0,1,1,0
0.0,TCAR,5,1,0,0,1
0.0,TCAR,9,0,1,1,0
0.0,TCAR,0,1,0,0,1
0.0,TCAR,6,1,0,0,1
0.0,TCAR,9,0,1,1,0
0.0,TCAR,0,1,0,0,1
0.0,TCAR,1,0,1,0,0
0.0,TCAR,5,0,0,0,1
0.0,TCAR,9,0,1,1,0
0.0,TCAR,7,0,1,1,0
0.0,TCAR,3,1,0,0,1
0.0,TCAR,4,0,1,1,0
0.0,TCAR,9,0,1,1,0
0.0,TCAR,6,1,0,1,1
0.0,TCAR,6,1,1,1,0
0.0,TCAR,5,0,0,1,1
0.0,TCAR,4,0,1,1,0
0.0,TCAR,0,1,0,0,1
0.0,TCAR,7,0,1,1,0
0.0,TCAR,4,1,1,1,0
0.0,TCAR,0,0,0,0,1
0.0,TCAR,1,0,1,1,0
0.0,TCAR,3,0,0,1,1
0.0,TCAR,1,0,1,1,0
0.0,TCAR,3,0,0,0,1
0.0,TCAR,4,1,0,1,1
0.0,TCAR,7,0,1,0,0
0.0,TCAR,2,1,0,0,1
0.0,TCAR,7,0,1,1,0
0.0,TCAR,1,0,1,1,0
0.0,TCAR,2,1,0,0,1
0.0,TCAR,1,0,1,0,0
0.0,TCAR,1,0,1,0,0
0.0,TCAR,7,0,1,1,0
0.0,TCAR,4,0,1,1,0
0.0,TCAR,2,1,1,0,0
0.0,TCAR,3,1,0,1,1
0.0,TCAR,5,0,0,0,1
0.0,TCAR,1,0,1,1,0
0.0,TCAR,2,1,1,0,0
0.0,TCAR,4,0,1,1,0
0.0,TCAR,4,1,1,1,0
0.0,TCAR,6,1,0,0,1
0.0,TCAR,3,1,0,0,1
0.0,TCAR,5,0,1,1,0
0.0,TCAR,5,0,0,1,1
0.0,TCAR,6,1,0,0,1
0.0,TCAR,0,0,0,0,1
0.0,TCAR,4,1,1,1,0
0.0,TCAR,1,0,1,0,0
0.0,TCAR,9,0,1,1,0
0.0,TCAR,5,0,1,1,0
0.0,TCAR,7,0,1,1,0
0.0,TCAR,8,1,0,1,1
0.0,TCAR,9,0,1,1,0
0.0,TCAR,3,0,0,0,1
0.0,TCAR,7,0,1,1,0
0.0,TCAR,4,0,1,1,0
0.0,TCAR,6,1,1,1,0
0.0,TCAR,4,0,1,1,0
0.0,TCAR,3,0,0,0,1
0.0,TCAR,0,1,0,0,1
0.0,TCAR,7,0,1,1,0
0.0,TCAR,0,1,0,0,1
0.0,TCAR,2,1,0,0,1
0.0,TCAR,9,0,1,0,0
