Concept,Layer,Seed,Method,Train ACC,Test ACC
Loop,adaptive_pool,1,CAR,0.84,0.81
Loop,adaptive_pool,1,CAV,0.7325,0.7
Loop,tqlayer_n,1,CAR,0.765,0.74
Loop,tqlayer_n,1,CAV,0.7375,0.72
Loop,tqlayer_n_remain,1,CAR,0.79,0.79
Loop,tqlayer_n_remain,1,CAV,0.7075,0.66
Loop,out,1,CAR,0.7975,0.82
Loop,out,1,CAV,0.675,0.72
Loop,adaptive_pool,2,CAR,0.82,0.83
Loop,adaptive_pool,2,CAV,0.7575,0.74
Loop,tqlayer_n,2,CAR,0.7525,0.74
Loop,tqlayer_n,2,CAV,0.7225,0.74
Loop,tqlayer_n_remain,2,CAR,0.7825,0.78
Loop,tqlayer_n_remain,2,CAV,0.695,0.61
Loop,out,2,CAR,0.7675,0.79
Loop,out,2,CAV,0.6125,0.58
Loop,adaptive_pool,3,CAR,0.8175,0.82
Loop,adaptive_pool,3,CAV,0.75,0.79
Loop,tqlayer_n,3,CAR,0.7875,0.79
Loop,tqlayer_n,3,CAV,0.77,0.76
Loop,tqlayer_n_remain,3,CAR,0.805,0.73
Loop,tqlayer_n_remain,3,CAV,0.705,0.71
Loop,out,3,CAR,0.8025,0.72
Loop,out,3,CAV,0.7375,0.73
Loop,adaptive_pool,4,CAR,0.8375,0.79
Loop,adaptive_pool,4,CAV,0.7125,0.65
Loop,tqlayer_n,4,CAR,0.755,0.73
Loop,tqlayer_n,4,CAV,0.74,0.69
Loop,tqlayer_n_remain,4,CAR,0.8,0.83
Loop,tqlayer_n_remain,4,CAV,0.695,0.64
Loop,out,4,CAR,0.8,0.78
Loop,out,4,CAV,0.685,0.62
Loop,adaptive_pool,5,CAR,0.8425,0.82
Loop,adaptive_pool,5,CAV,0.7375,0.71
Loop,tqlayer_n,5,CAR,0.76,0.75
Loop,tqlayer_n,5,CAV,0.73,0.72
Loop,tqlayer_n_remain,5,CAR,0.7625,0.77
Loop,tqlayer_n_remain,5,CAV,0.6975,0.7
Loop,out,5,CAR,0.7725,0.79
Loop,out,5,CAV,0.68,0.72
Loop,adaptive_pool,6,CAR,0.805,0.86
Loop,adaptive_pool,6,CAV,0.735,0.7
Loop,tqlayer_n,6,CAR,0.74,0.76
Loop,tqlayer_n,6,CAV,0.7175,0.69
Loop,tqlayer_n_remain,6,CAR,0.845,0.79
Loop,tqlayer_n_remain,6,CAV,0.675,0.71
Loop,out,6,CAR,0.8175,0.76
Loop,out,6,CAV,0.6475,0.65
Loop,adaptive_pool,7,CAR,0.8325,0.79
Loop,adaptive_pool,7,CAV,0.765,0.71
Loop,tqlayer_n,7,CAR,0.77,0.7
Loop,tqlayer_n,7,CAV,0.74,0.66
Loop,tqlayer_n_remain,7,CAR,0.7825,0.75
Loop,tqlayer_n_remain,7,CAV,0.67,0.66
Loop,out,7,CAR,0.785,0.74
Loop,out,7,CAV,0.6675,0.64
Loop,adaptive_pool,8,CAR,0.81,0.8
Loop,adaptive_pool,8,CAV,0.69,0.69
