Concept Sets Size,Random Seed,Concept,Test Accuracy
10,1,Loop,0.7
40,1,Loop,0.775
70,1,Loop,0.7571428571428571
100,1,Loop,0.77
130,1,Loop,0.7576923076923077
160,1,Loop,0.775
190,1,Loop,0.781578947368421
220,1,Loop,0.7636363636363637
250,1,Loop,0.766
280,1,Loop,0.7803571428571429
10,2,Loop,0.7
40,2,Loop,0.75
70,2,Loop,0.7428571428571429
100,2,Loop,0.745
130,2,Loop,0.7423076923076923
160,2,Loop,0.73125
190,2,Loop,0.7421052631578947
220,2,Loop,0.7454545454545455
250,2,Loop,0.75
280,2,Loop,0.7589285714285714
10,3,Loop,0.65
40,3,Loop,0.7625
70,3,Loop,0.7642857142857142
100,3,Loop,0.775
130,3,Loop,0.7730769230769231
160,3,Loop,0.7625
190,3,Loop,0.7684210526315789
220,3,Loop,0.7613636363636364
250,3,Loop,0.75
280,3,Loop,0.7571428571428571
10,4,Loop,0.8
40,4,Loop,0.7
70,4,Loop,0.7214285714285714
100,4,Loop,0.71
130,4,Loop,0.7346153846153847
160,4,Loop,0.746875
190,4,Loop,0.7657894736842106
220,4,Loop,0.759090909090909
250,4,Loop,0.76
280,4,Loop,0.7642857142857142
10,5,Loop,0.7
40,5,Loop,0.75
70,5,Loop,0.7142857142857143
100,5,Loop,0.755
130,5,Loop,0.7538461538461538
160,5,Loop,0.7375
190,5,Loop,0.7473684210526316
220,5,Loop,0.7659090909090909
250,5,Loop,0.764
280,5,Loop,0.7642857142857142
10,6,Loop,0.6
40,6,Loop,0.65
70,6,Loop,0.7
100,6,Loop,0.735
130,6,Loop,0.7423076923076923
160,6,Loop,0.7375
190,6,Loop,0.75
220,6,Loop,0.7431818181818182
250,6,Loop,0.748
280,6,Loop,0.7464285714285714
10,7,Loop,0.65
40,7,Loop,0.75
70,7,Loop,0.7928571428571428
100,7,Loop,0.765
130,7,Loop,0.7653846153846153
160,7,Loop,0.7625
190,7,Loop,0.7473684210526316
220,7,Loop,0.7522727272727273
250,7,Loop,0.754
280,7,Loop,0.75
10,8,Loop,0.75
40,8,Loop,0.7875
70,8,Loop,0.7928571428571428
100,8,Loop,0.8
130,8,Loop,0.7730769230769231
160,8,Loop,0.775
190,8,Loop,0.7947368421052632
220,8,Loop,0.7818181818181819
250,8,Loop,0.766
280,8,Loop,0.7625
10,9,Loop,0.8
40,9,Loop,0.75
70,9,Loop,0.7928571428571428
100,9,Loop,0.79
130,9,Loop,0.7615384615384615
160,9,Loop,0.740625
190,9,Loop,0.7552631578947369
220,9,Loop,0.7477272727272727
250,9,Loop,0.742
280,9,Loop,0.7375
10,10,Loop,0.75
40,10,Loop,0.7375
70,10,Loop,0.7142857142857143
100,10,Loop,0.74
130,10,Loop,0.7461538461538462
160,10,Loop,0.740625
190,10,Loop,0.7394736842105263
220,10,Loop,0.7454545454545455
250,10,Loop,0.756
280,10,Loop,0.7553571428571428
10,1,Vertical Line,0.8
40,1,Vertical Line,0.8125
70,1,Vertical Line,0.85
100,1,Vertical Line,0.82
130,1,Vertical Line,0.8115384615384615
160,1,Vertical Line,0.815625
190,1,Vertical Line,0.8210526315789474
220,1,Vertical Line,0.8136363636363636
250,1,Vertical Line,0.812
280,1,Vertical Line,0.8214285714285714
10,2,Vertical Line,0.85
40,2,Vertical Line,0.775
70,2,Vertical Line,0.7714285714285715
100,2,Vertical Line,0.76
130,2,Vertical Line,0.7923076923076923
160,2,Vertical Line,0.7875
190,2,Vertical Line,0.8026315789473685
220,2,Vertical Line,0.8136363636363636
250,2,Vertical Line,0.818
280,2,Vertical Line,0.8232142857142857
10,3,Vertical Line,0.7
40,3,Vertical Line,0.8375
70,3,Vertical Line,0.8571428571428571
100,3,Vertical Line,0.835
130,3,Vertical Line,0.823076923076923
160,3,Vertical Line,0.81875
190,3,Vertical Line,0.8184210526315789
220,3,Vertical Line,0.8113636363636364
250,3,Vertical Line,0.824
280,3,Vertical Line,0.8178571428571428
10,4,Vertical Line,0.7
40,4,Vertical Line,0.775
70,4,Vertical Line,0.7857142857142857
100,4,Vertical Line,0.82
130,4,Vertical Line,0.8269230769230769
160,4,Vertical Line,0.821875
190,4,Vertical Line,0.8184210526315789
220,4,Vertical Line,0.8045454545454546
250,4,Vertical Line,0.814
280,4,Vertical Line,0.8232142857142857
10,5,Vertical Line,0.85
40,5,Vertical Line,0.7625
70,5,Vertical Line,0.7214285714285714
100,5,Vertical Line,0.775
130,5,Vertical Line,0.8115384615384615
160,5,Vertical Line,0.803125
190,5,Vertical Line,0.8026315789473685
220,5,Vertical Line,0.8136363636363636
250,5,Vertical Line,0.8
280,5,Vertical Line,0.8178571428571428
10,6,Vertical Line,0.7
40,6,Vertical Line,0.725
70,6,Vertical Line,0.7785714285714286
100,6,Vertical Line,0.78
130,6,Vertical Line,0.8076923076923077
160,6,Vertical Line,0.821875
190,6,Vertical Line,0.8210526315789474
220,6,Vertical Line,0.825
250,6,Vertical Line,0.812
280,6,Vertical Line,0.825
10,7,Vertical Line,0.65
40,7,Vertical Line,0.6875
70,7,Vertical Line,0.7642857142857142
100,7,Vertical Line,0.805
130,7,Vertical Line,0.8269230769230769
160,7,Vertical Line,0.8
190,7,Vertical Line,0.8026315789473685
220,7,Vertical Line,0.8090909090909091
250,7,Vertical Line,0.816
280,7,Vertical Line,0.8125
10,8,Vertical Line,0.8
40,8,Vertical Line,0.825
70,8,Vertical Line,0.7928571428571428
100,8,Vertical Line,0.825
130,8,Vertical Line,0.8346153846153846
160,8,Vertical Line,0.81875
190,8,Vertical Line,0.8131578947368421
220,8,Vertical Line,0.8045454545454546
250,8,Vertical Line,0.81
280,8,Vertical Line,0.8196428571428571
10,9,Vertical Line,0.8
40,9,Vertical Line,0.7375
70,9,Vertical Line,0.7428571428571429
100,9,Vertical Line,0.79
130,9,Vertical Line,0.7692307692307693
160,9,Vertical Line,0.775
190,9,Vertical Line,0.7842105263157895
220,9,Vertical Line,0.7863636363636364
250,9,Vertical Line,0.804
280,9,Vertical Line,0.8089285714285714
10,10,Vertical Line,0.9
40,10,Vertical Line,0.7875
70,10,Vertical Line,0.7928571428571428
100,10,Vertical Line,0.81
130,10,Vertical Line,0.8115384615384615
160,10,Vertical Line,0.828125
190,10,Vertical Line,0.8131578947368421
220,10,Vertical Line,0.8181818181818182
250,10,Vertical Line,0.824
280,10,Vertical Line,0.8232142857142857
10,1,Horizontal Line,0.75
40,1,Horizontal Line,0.7375
70,1,Horizontal Line,0.7428571428571429
100,1,Horizontal Line,0.755
130,1,Horizontal Line,0.7807692307692308
160,1,Horizontal Line,0.78125
190,1,Horizontal Line,0.7657894736842106
220,1,Horizontal Line,0.7795454545454545
250,1,Horizontal Line,0.772
280,1,Horizontal Line,0.8
10,2,Horizontal Line,0.6
40,2,Horizontal Line,0.675
70,2,Horizontal Line,0.6571428571428571
100,2,Horizontal Line,0.78
130,2,Horizontal Line,0.7538461538461538
160,2,Horizontal Line,0.75625
190,2,Horizontal Line,0.7552631578947369
220,2,Horizontal Line,0.740909090909091
250,2,Horizontal Line,0.746
280,2,Horizontal Line,0.7642857142857142
10,3,Horizontal Line,0.85
40,3,Horizontal Line,0.7375
70,3,Horizontal Line,0.8071428571428572
100,3,Horizontal Line,0.825
130,3,Horizontal Line,0.8269230769230769
160,3,Horizontal Line,0.821875
190,3,Horizontal Line,0.8157894736842105
220,3,Horizontal Line,0.8090909090909091
250,3,Horizontal Line,0.816
280,3,Horizontal Line,0.8053571428571429
10,4,Horizontal Line,0.7
40,4,Horizontal Line,0.75
70,4,Horizontal Line,0.7428571428571429
100,4,Horizontal Line,0.76
130,4,Horizontal Line,0.75
160,4,Horizontal Line,0.7625
190,4,Horizontal Line,0.7526315789473684
220,4,Horizontal Line,0.7636363636363637
250,4,Horizontal Line,0.774
280,4,Horizontal Line,0.7839285714285714
10,5,Horizontal Line,0.85
40,5,Horizontal Line,0.7875
70,5,Horizontal Line,0.6928571428571428
100,5,Horizontal Line,0.76
130,5,Horizontal Line,0.7884615384615384
160,5,Horizontal Line,0.79375
190,5,Horizontal Line,0.8
220,5,Horizontal Line,0.7954545454545454
250,5,Horizontal Line,0.792
280,5,Horizontal Line,0.7875
10,6,Horizontal Line,0.75
40,6,Horizontal Line,0.7375
70,6,Horizontal Line,0.7285714285714285
100,6,Horizontal Line,0.735
130,6,Horizontal Line,0.7576923076923077
160,6,Horizontal Line,0.771875
190,6,Horizontal Line,0.7789473684210526
220,6,Horizontal Line,0.775
250,6,Horizontal Line,0.77
280,6,Horizontal Line,0.7910714285714285
10,7,Horizontal Line,0.8
40,7,Horizontal Line,0.65
70,7,Horizontal Line,0.7428571428571429
100,7,Horizontal Line,0.735
130,7,Horizontal Line,0.7730769230769231
160,7,Horizontal Line,0.78125
190,7,Horizontal Line,0.7921052631578948
220,7,Horizontal Line,0.7977272727272727
250,7,Horizontal Line,0.794
280,7,Horizontal Line,0.7964285714285714
10,8,Horizontal Line,0.8
40,8,Horizontal Line,0.75
70,8,Horizontal Line,0.7928571428571428
100,8,Horizontal Line,0.785
130,8,Horizontal Line,0.7807692307692308
160,8,Horizontal Line,0.78125
190,8,Horizontal Line,0.7552631578947369
220,8,Horizontal Line,0.759090909090909
250,8,Horizontal Line,0.756
280,8,Horizontal Line,0.7660714285714286
10,9,Horizontal Line,0.8
40,9,Horizontal Line,0.725
70,9,Horizontal Line,0.7642857142857142
100,9,Horizontal Line,0.78
130,9,Horizontal Line,0.7692307692307693
160,9,Horizontal Line,0.7875
190,9,Horizontal Line,0.7973684210526316
220,9,Horizontal Line,0.8045454545454546
250,9,Horizontal Line,0.808
