Method,Class,Loop,Vertical Line,Horizontal Line,Curvature
TCAR,7,0,1,1,0
TCAR,2,1,0,0,1
TCAR,1,0,1,0,0
TCAR,0,1,0,0,1
TCAR,4,0,1,1,0
TCAR,1,0,1,0,0
TCAR,4,0,1,1,0
TCAR,9,0,1,1,0
TCAR,5,1,0,0,1
TCAR,9,0,1,1,0
TCAR,0,1,0,0,1
TCAR,6,1,0,0,1
TCAR,9,0,1,1,0
TCAR,0,1,0,0,1
TCAR,1,0,1,0,0
TCAR,5,0,0,0,1
TCAR,9,0,1,1,0
TCAR,7,0,1,1,0
TCAR,3,1,0,0,1
TCAR,4,0,1,1,0
TCAR,9,0,1,1,0
TCAR,6,1,0,1,1
TCAR,6,1,1,1,0
TCAR,5,0,0,1,1
TCAR,4,0,1,1,0
TCAR,0,1,0,0,1
TCAR,7,0,1,1,0
TCAR,4,1,1,1,0
TCAR,0,0,0,0,1
TCAR,1,0,1,1,0
TCAR,3,0,0,1,1
TCAR,1,0,1,1,0
TCAR,3,0,0,0,1
TCAR,4,1,0,1,1
TCAR,7,0,1,0,0
TCAR,2,1,0,0,1
TCAR,7,0,1,1,0
TCAR,1,0,1,1,0
TCAR,2,1,0,0,1
TCAR,1,0,1,0,0
TCAR,1,0,1,0,0
TCAR,7,0,1,1,0
TCAR,4,0,1,1,0
TCAR,2,1,1,0,0
TCAR,3,1,0,1,1
TCAR,5,0,0,0,1
TCAR,1,0,1,1,0
TCAR,2,1,1,0,0
TCAR,4,0,1,1,0
TCAR,4,1,1,1,0
TCAR,6,1,0,0,1
TCAR,3,1,0,0,1
TCAR,5,0,1,1,0
TCAR,5,0,0,1,1
TCAR,6,1,0,0,1
TCAR,0,0,0,0,1
TCAR,4,1,1,1,0
TCAR,1,0,1,0,0
TCAR,9,0,1,1,0
TCAR,5,0,1,1,0
TCAR,7,0,1,1,0
TCAR,8,1,0,1,1
TCAR,9,0,1,1,0
TCAR,3,0,0,0,1
TCAR,7,0,1,1,0
TCAR,4,0,1,1,0
TCAR,6,1,1,1,0
TCAR,4,0,1,1,0
TCAR,3,0,0,0,1
TCAR,0,1,0,0,1
TCAR,7,0,1,1,0
TCAR,0,1,0,0,1
TCAR,2,1,0,0,1
TCAR,9,0,1,0,0
TCAR,1,0,1,1,0
TCAR,7,0,1,1,0
TCAR,3,0,0,0,1
TCAR,2,0,1,1,0
TCAR,9,0,1,1,0
TCAR,7,0,1,0,0
TCAR,7,0,1,1,0
TCAR,6,1,0,0,1
TCAR,2,1,0,0,1
TCAR,7,0,1,1,0
TCAR,8,1,0,1,1
TCAR,4,1,1,1,0
TCAR,7,0,1,1,0
TCAR,3,1,0,1,1
TCAR,6,1,0,0,1
TCAR,1,0,1,0,0
TCAR,3,0,0,0,1
TCAR,6,1,0,0,1
TCAR,9,0,1,1,0
TCAR,3,0,0,0,1
TCAR,1,1,0,1,1
TCAR,4,1,0,1,1
TCAR,1,0,1,1,0
TCAR,7,0,0,1,1
TCAR,6,1,0,0,1
TCAR,9,1,1,1,0
TCAR,6,1,0,1,1
TCAR,0,1,0,0,1
TCAR,5,0,0,1,1
TCAR,4,1,0,1,1
TCAR,9,1,0,1,0
TCAR,9,0,1,1,0
TCAR,2,1,0,0,1
TCAR,1,0,1,0,0
TCAR,9,0,1,1,0
TCAR,4,1,1,1,0
TCAR,8,0,0,0,1
TCAR,7,0,1,0,0
TCAR,3,0,0,0,1
TCAR,9,0,1,1,0
TCAR,7,0,1,1,0
TCAR,4,0,1,1,0
TCAR,4,0,1,1,0
TCAR,4,1,1,1,0
TCAR,9,0,1,1,0
TCAR,2,1,0,1,1
TCAV,7,0,1,1,0
TCAV,2,1,0,0,1
TCAV,1,1,1,0,0
TCAV,0,1,0,0,1
TCAV,4,0,1,1,0
TCAV,1,0,1,0,0
TCAV,4,0,1,1,0
TCAV,9,0,1,1,0
TCAV,5,0,0,1,0
TCAV,9,0,1,1,0
TCAV,0,1,0,0,1
TCAV,6,1,0,0,1
TCAV,9,0,1,1,0
TCAV,0,1,0,0,1
TCAV,1,1,1,0,0
TCAV,5,0,0,1,1
TCAV,9,0,1,1,0
TCAV,7,0,1,1,0
TCAV,3,0,0,0,1
TCAV,4,0,1,1,0
TCAV,9,0,1,1,0
TCAV,6,1,0,0,1
TCAV,6,1,0,0,1
TCAV,5,0,0,1,1
TCAV,4,0,1,1,0
TCAV,0,1,0,0,1
TCAV,7,0,1,1,0
TCAV,4,0,1,1,0
TCAV,0,1,0,0,1
TCAV,1,1,0,0,1
TCAV,3,0,0,0,1
TCAV,1,1,0,0,1
TCAV,3,0,0,0,1
TCAV,4,1,1,1,0
TCAV,7,0,1,1,0
TCAV,2,1,0,0,1
TCAV,7,0,1,1,0
TCAV,1,1,0,0,1
TCAV,2,1,0,0,1
TCAV,1,1,1,0,0
TCAV,1,1,1,0,0
TCAV,7,0,1,1,0
TCAV,4,0,1,1,0
TCAV,2,1,0,0,1
TCAV,3,0,0,0,1
TCAV,5,0,0,1,1
TCAV,1,1,0,0,1
TCAV,2,1,0,0,1
TCAV,4,0,1,1,0
TCAV,4,0,1,1,0
TCAV,6,1,0,0,1
TCAV,3,0,0,0,1
TCAV,5,0,0,1,0
TCAV,5,0,0,1,1
TCAV,6,1,0,0,1
TCAV,0,1,0,0,1
TCAV,4,0,1,1,0
TCAV,1,1,1,0,0
TCAV,9,0,1,1,0
TCAV,5,0,1,1,0
TCAV,7,0,1,1,0
TCAV,8,0,0,1,1
