Set,Concept,Seed,Kernel,Accuracy
Training,Loop,1,Gaussian RBF,0.76
Validation,Loop,1,Gaussian RBF,0.73
Training,Loop,1,Linear,0.72
Validation,Loop,1,Linear,0.69
Training,Loop,1,Polynomial,0.7875
Validation,Loop,1,Polynomial,0.74
Training,Loop,1,Sigmoid,0.72
Validation,Loop,1,Sigmoid,0.71
Training,Loop,1,Matern,0.775
Validation,Loop,1,Matern,0.76
Training,Loop,2,Gaussian RBF,0.775
Validation,Loop,2,Gaussian RBF,0.72
Training,Loop,2,Linear,0.7425
Validation,Loop,2,Linear,0.7
Training,Loop,2,Polynomial,0.7775
Validation,Loop,2,Polynomial,0.76
Training,Loop,2,Sigmoid,0.735
Validation,Loop,2,Sigmoid,0.7
Training,Loop,2,Matern,0.78
Validation,Loop,2,Matern,0.73
Training,Loop,3,Gaussian RBF,0.745
Validation,Loop,3,Gaussian RBF,0.88
Training,Loop,3,Linear,0.725
Validation,Loop,3,Linear,0.81
Training,Loop,3,Polynomial,0.75
Validation,Loop,3,Polynomial,0.88
Training,Loop,3,Sigmoid,0.7075
Validation,Loop,3,Sigmoid,0.73
Training,Loop,3,Matern,0.7625
Validation,Loop,3,Matern,0.87
Training,Loop,4,Gaussian RBF,0.7675
Validation,Loop,4,Gaussian RBF,0.72
Training,Loop,4,Linear,0.74
Validation,Loop,4,Linear,0.71
Training,Loop,4,Polynomial,0.775
Validation,Loop,4,Polynomial,0.73
Training,Loop,4,Sigmoid,0.7275
Validation,Loop,4,Sigmoid,0.7
Training,Loop,4,Matern,0.77
Validation,Loop,4,Matern,0.72
Training,Loop,5,Gaussian RBF,0.75
Validation,Loop,5,Gaussian RBF,0.64
Training,Loop,5,Linear,0.7325
Validation,Loop,5,Linear,0.6
Training,Loop,5,Polynomial,0.76
Validation,Loop,5,Polynomial,0.69
Training,Loop,5,Sigmoid,0.71
Validation,Loop,5,Sigmoid,0.6
Training,Loop,5,Matern,0.7625
Validation,Loop,5,Matern,0.68
Training,Loop,6,Gaussian RBF,0.735
Validation,Loop,6,Gaussian RBF,0.7
Training,Loop,6,Linear,0.7075
Validation,Loop,6,Linear,0.66
Training,Loop,6,Polynomial,0.745
Validation,Loop,6,Polynomial,0.7
Training,Loop,6,Sigmoid,0.67
Validation,Loop,6,Sigmoid,0.63
Training,Loop,6,Matern,0.7475
Validation,Loop,6,Matern,0.7
Training,Loop,7,Gaussian RBF,0.77
Validation,Loop,7,Gaussian RBF,0.72
Training,Loop,7,Linear,0.7375
Validation,Loop,7,Linear,0.73
Training,Loop,7,Polynomial,0.7875
Validation,Loop,7,Polynomial,0.75
Training,Loop,7,Sigmoid,0.725
Validation,Loop,7,Sigmoid,0.69
Training,Loop,7,Matern,0.7775
Validation,Loop,7,Matern,0.72
Training,Loop,8,Gaussian RBF,0.7225
Validation,Loop,8,Gaussian RBF,0.79
Training,Loop,8,Linear,0.695
Validation,Loop,8,Linear,0.76
Training,Loop,8,Polynomial,0.735
Validation,Loop,8,Polynomial,0.79
Training,Loop,8,Sigmoid,0.6775
Validation,Loop,8,Sigmoid,0.74
Training,Loop,8,Matern,0.73
Validation,Loop,8,Matern,0.8
Training,Loop,9,Gaussian RBF,0.725
Validation,Loop,9,Gaussian RBF,0.71
Training,Loop,9,Linear,0.7025
Validation,Loop,9,Linear,0.69
Training,Loop,9,Polynomial,0.755
Validation,Loop,9,Polynomial,0.71
Training,Loop,9,Sigmoid,0.6725
Validation,Loop,9,Sigmoid,0.68
Training,Loop,9,Matern,0.725
Validation,Loop,9,Matern,0.74
Training,Loop,10,Gaussian RBF,0.7675
Validation,Loop,10,Gaussian RBF,0.72
Training,Loop,10,Linear,0.7325
Validation,Loop,10,Linear,0.72
Training,Loop,10,Polynomial,0.77
Validation,Loop,10,Polynomial,0.73
Training,Loop,10,Sigmoid,0.7075
Validation,Loop,10,Sigmoid,0.73
Training,Loop,10,Matern,0.7725
Validation,Loop,10,Matern,0.73
Training,Vertical Line,1,Gaussian RBF,0.8375
Validation,Vertical Line,1,Gaussian RBF,0.77
Training,Vertical Line,1,Linear,0.815
Validation,Vertical Line,1,Linear,0.75
Training,Vertical Line,1,Polynomial,0.8375
Validation,Vertical Line,1,Polynomial,0.77
Training,Vertical Line,1,Sigmoid,0.8075
Validation,Vertical Line,1,Sigmoid,0.76
Training,Vertical Line,1,Matern,0.84
Validation,Vertical Line,1,Matern,0.78
Training,Vertical Line,2,Gaussian RBF,0.8625
Validation,Vertical Line,2,Gaussian RBF,0.78
Training,Vertical Line,2,Linear,0.83
Validation,Vertical Line,2,Linear,0.74
Training,Vertical Line,2,Polynomial,0.865
Validation,Vertical Line,2,Polynomial,0.78
Training,Vertical Line,2,Sigmoid,0.805
Validation,Vertical Line,2,Sigmoid,0.73
Training,Vertical Line,2,Matern,0.8675
Validation,Vertical Line,2,Matern,0.77
Training,Vertical Line,3,Gaussian RBF,0.835
Validation,Vertical Line,3,Gaussian RBF,0.84
Training,Vertical Line,3,Linear,0.8125
Validation,Vertical Line,3,Linear,0.84
Training,Vertical Line,3,Polynomial,0.845
Validation,Vertical Line,3,Polynomial,0.85
Training,Vertical Line,3,Sigmoid,0.785
Validation,Vertical Line,3,Sigmoid,0.82
Training,Vertical Line,3,Matern,0.8425
Validation,Vertical Line,3,Matern,0.85
Training,Vertical Line,4,Gaussian RBF,0.845
Validation,Vertical Line,4,Gaussian RBF,0.84
Training,Vertical Line,4,Linear,0.8375
Validation,Vertical Line,4,Linear,0.82
Training,Vertical Line,4,Polynomial,0.8525
Validation,Vertical Line,4,Polynomial,0.83
Training,Vertical Line,4,Sigmoid,0.8225
Validation,Vertical Line,4,Sigmoid,0.81
Training,Vertical Line,4,Matern,0.8525
Validation,Vertical Line,4,Matern,0.84
Training,Vertical Line,5,Gaussian RBF,0.8275
