Concept,Layer,Method,p-value
Loop,adaptive_pool,CAR,0.009900990099009901
Loop,adaptive_pool,CAV,0.009900990099009901
Loop,tqlayer_n,CAR,0.009900990099009901
Loop,tqlayer_n,CAV,0.009900990099009901
Loop,tqlayer_n_remain,CAR,0.009900990099009901
Loop,tqlayer_n_remain,CAV,0.009900990099009901
Loop,out,CAR,0.009900990099009901
Loop,out,CAV,0.009900990099009901
Vertical Line,adaptive_pool,CAR,0.009900990099009901
Vertical Line,adaptive_pool,CAV,0.009900990099009901
Vertical Line,tqlayer_n,CAR,0.009900990099009901
Vertical Line,tqlayer_n,CAV,0.009900990099009901
Vertical Line,tqlayer_n_remain,CAR,0.009900990099009901
Vertical Line,tqlayer_n_remain,CAV,0.009900990099009901
Vertical Line,out,CAR,0.009900990099009901
Vertical Line,out,CAV,0.009900990099009901
Horizontal Line,adaptive_pool,CAR,0.009900990099009901
Horizontal Line,adaptive_pool,CAV,0.009900990099009901
Horizontal Line,tqlayer_n,CAR,0.009900990099009901
Horizontal Line,tqlayer_n,CAV,0.009900990099009901
Horizontal Line,tqlayer_n_remain,CAR,0.009900990099009901
Horizontal Line,tqlayer_n_remain,CAV,0.009900990099009901
Horizontal Line,out,CAR,0.009900990099009901
Horizontal Line,out,CAV,0.009900990099009901
Curvature,adaptive_pool,CAR,0.009900990099009901
Curvature,adaptive_pool,CAV,0.009900990099009901
Curvature,tqlayer_n,CAR,0.009900990099009901
Curvature,tqlayer_n,CAV,0.009900990099009901
Curvature,tqlayer_n_remain,CAR,0.009900990099009901
Curvature,tqlayer_n_remain,CAV,0.009900990099009901
Curvature,out,CAR,0.009900990099009901
Curvature,out,CAV,0.009900990099009901
